(sensory, 0010000011001111)
(palm, 001000001101000)
(assured, 00100000110100100)
(deceiving, 00100000110100101)
(depositors, 0010000011010011000)
(notices, 0010000011010011001)
(welsh, 0010000011010011010)
(forsake, 0010000011010011011)
('They, 00100000110100111)
(Mechanical, 001000001101010000)
(punks, 0010000011010100010)
(treasonable, 0010000011010100011)
(marched, 0010000011010100100)
(marches, 0010000011010100101)
(dissolved, 001000001101010011)
(wording, 0010000011010101000)
(ad, 0010000011010101001)
(clocks, 0010000011010101010)
(pasteboard, 0010000011010101011)
(Step, 001000001101010110)
(thudded, 001000001101010111)
(mutual, 001000001101011)
(poor, 00100000110110)
(rotted, 0010000011011100)
(degenerate, 001000001101110100)
(worshippers, 001000001101110101)
(swerve, 0010000011011101100)
(resigning, 0010000011011101101)
(squander, 0010000011011101110)
(coincides, 0010000011011101111)
(adding, 001000001101111)
(terror, 001000001110)
(simple, 0010000011110)
(march, 00100000111110000)
(brawl, 0010000011111000100)
(iave, 0010000011111000101)
(beefy, 001000001111100011)
(reviving, 001000001111100100)
(radiating, 0010000011111001010)
(eaters, 0010000011111001011)
(buys, 0010000011111001100)
(you's, 0010000011111001101)
(hires, 0010000011111001110)
(donates, 0010000011111001111)
(Lee, 0010000011111010)
(roused, 001000001111101100)
(sluggish, 001000001111101101)
(galloping, 0010000011111011100)
(cultural, 0010000011111011101)
(charter, 0010000011111011110)
(monsters, 0010000011111011111)
(slob, 001000001111110000)
(antagonism, 001000001111110001)
(primordial, 00100000111111001)
(backwoods, 0010000011111101000)
(Hundred, 0010000011111101001)
(unanswering, 0010000011111101010)
(unechoing, 0010000011111101011)
(squeaked, 0010000011111101100)
(newer, 0010000011111101101)
(caps, 001000001111110111)
(blotch, 001000001111111000)
(handout, 0010000011111110010)
(jerkwaters, 0010000011111110011)
(lackey, 0010000011111110100)
(rowdies, 0010000011111110101)
(cooperation, 0010000011111110110)
(outbidding, 0010000011111110111)
(Moines, 0010000011111111000)
(Fort, 0010000011111111001)
(foresee, 0010000011111111010)
(vague', 0010000011111111011)
(usury, 0010000011111111100)
(phantom, 0010000011111111101)
(Forgetting, 0010000011111111110)
('evil', 0010000011111111111)
(Mostly, 0010000100000000000)
(rove, 0010000100000000001)
(unraveling, 0010000100000000010)
(laundered, 0010000100000000011)
(selected, 001000010000000010)
(BEST, 001000010000000011)
(sentenced, 0010000100000001)
(Redding, 0010000100000010000)
(avenging, 0010000100000010001)
(vagrant, 001000010000001001)
(engulfing, 0010000100000010100)
(triangular, 0010000100000010101)
(bribing, 0010000100000010110)
(Clouds, 0010000100000010111)
(computing, 0010000100000011000)
('belongs, 0010000100000011001)
(flickering, 001000010000001101)
(secession, 0010000100000011100)
(fortyseven, 0010000100000011101)
(imagines, 0010000100000011110)
('these, 0010000100000011111)
(based, 001000010000010)
(quarrels, 001000010000011000)
(hits, 0010000100000110010)
(stiffened, 0010000100000110011)
(bodyguards, 0010000100000110100)
(gloomy, 0010000100000110101)
(teamwork, 001000010000011011)
(nowhere, 0010000100000111)
(Certainly, 001000010000100)
(Underprivileged, 0010000100001010000)
